Actor_name,character_types,character,Freebase_character_ID,Freebase_actor_ID,Freebase_character/actor_map_ID,Actor_gender,Actor_age_at_movie_release,Actor_date_of_birth,Actor_height_(in meters),Actor_ethnicity_(Freebase ID),unique_character_name,movie,Wikipedia_movie_ID,Freebase_movie_ID
Tom Hiddleston,byronic_hero,Loki,/m/05pnb1,/m/03h4d3v,/m/0855mjk,M,30.0,1981.0,1.87,,,Thor,12673434,/m/062zjtt
Tom Hiddleston,trickster,Loki,/m/05pnb1,/m/03h4d3v,/m/0855mjk,M,30.0,1981.0,1.87,,,Thor,12673434,/m/062zjtt
Lil Dagover,ophelia,Jane Olsen,/m/0h66s2w,/m/047txhl,/m/08cqh60,F,,1887.0,,,,The Cabinet of Dr. Caligari,173650,/m/017f6j
Danny Huston,corrupt_corporate_executive,Jack Bennett,/m/08d9jtl,/m/07vc_9,/m/08cwjsb,M,47.0,1962.0,1.88,,,Edge of Darkness,18949667,/m/04jn6y7
Ade,stupid_crooks,Tyrone,/m/0br0ck2,/m/04f1zjp,/m/09hy0ym,M,30.0,,1.82,,,Snatch,707808,/m/034hwx
Jeff Anderson,bromantic_foil,Randal Graves,/m/05gmpml,/m/09594c,/m/09vvrb_,M,36.0,1970.0,1.82,,Randal Graves,Clerks II,1283050,/m/04pygz
Dustin Milligan,brainless_beauty,Brad,/m/0bdxkb4,/m/0fg6jn,/m/0b3trzf,M,24.0,1985.0,1.79,,,Extract,19221106,/m/04lfwh3
Lee Marvin,drill_sargeant_nasty,Maj. John Reisman,/m/0h2l3nn,/m/04n_g,/m/0b78ft6,M,60.0,1924.0,1.88,,,The Dirty Dozen: The Next Mission,23913058,/m/076w_th
John Malkovich,crazy_survivalist,Marvin Boggs,/m/0b7n5yn,/m/017r13,/m/0b7n5zy,M,56.0,1953.0,1.83,/m/0ffjqy,,Red,25854460,/m/09v6jyh
Wayne Morris,coward,Lt. Roget / Singing man,/m/0cc_887,/m/088cqg,/m/0cc_884,M,42.0,1914.0,,,,Paths of Glory,23255,/m/05sjq
Natalie Portman,broken_bird,Nina Sayers,/m/0fq9hc5,/m/09l3p,/m/0cccx3m,F,29.0,1981.0,1.6,/m/04ydrsn,,Black Swan,24480838,/m/09k56b7
Daniel Gillies,casanova,Johnny Wickham,/m/0h5vppr,/m/06g0q4,/m/0cf_wtd,M,28.0,1976.0,1.85,,,Bride and Prejudice,1137578,/m/049hk9
John Lynch,father_to_his_men,Wolfstan,/m/0gff4wz,/m/074s4p,/m/0cg03cg,M,48.0,1961.0,,,,Black Death,23887068,/m/076w4mr
James Marsden,brainless_beauty,Jack Bartlett,/m/0h1633q,/m/042ly5,/m/0cg2m9s,M,27.0,1973.0,1.79,,,Sugar & Spice,1232511,/m/04km9l
Stephen Lang,coward,Ike Clanton,/m/0hgs542,/m/08c986,/m/0cg418l,M,41.0,1952.0,1.79,,,Tombstone,525113,/m/02ljhg
John Larch,the_chief,The Chief,/m/0hdty2v,/m/09vw6_,/m/0cg54hp,M,57.0,1914.0,,,The Chief,Dirty Harry,301798,/m/01r_0s
Ritchie Coster,corrupt_corporate_executive,Dietrich Banning,/m/0gm4xyk,/m/03hlp6v,/m/0cgn58l,M,35.0,1967.0,1.85,/m/02w7gg,,The Tuxedo,277713,/m/01pk7l
Chris Carmack,jerk_jock,Garth,/m/0d2jcyq,/m/04bcy1,/m/0d2jcym,M,29.0,1980.0,1.85,,,Alpha and Omega,22526086,/m/05zqxpt
Stuart Townsend,casanova,Dorian Gray,/m/02lwxf,/m/03v738,/m/0dkcy1f,M,30.0,1972.0,1.8,/m/03bkbh,Dorian Gray,The League of Extraordinary Gentlemen,4138142,/m/0bl3nn
Stuart Townsend,cultured_badass,Dorian Gray,/m/02lwxf,/m/03v738,/m/0dkcy1f,M,30.0,1972.0,1.8,/m/03bkbh,Dorian Gray,The League of Extraordinary Gentlemen,4138142,/m/0bl3nn
Paige O'Hara,doormat,Belle,/m/0c4ykp,/m/03wbb8,/m/0fprkm7,F,41.0,1956.0,,,,Beauty and the Beast: The Enchanted Christmas,481293,/m/02fpqm
Ryan Gosling,tranquil_fury,Driver,/m/0gl4j9z,/m/03m6_z,/m/0g4vml8,M,30.0,1980.0,1.85,/m/044038p,,Drive,30273553,/m/0g4vmj8
Fred Savage,crazy_jealous_guy,Bobby Tennison,/m/0h1zzrq,/m/031_b,/m/0g9k2p6,M,19.0,1976.0,1.78,/m/041rx,,No One Would Tell,23767889,/m/06zmc33
Junjie Qin,evil_prince,Prince Yu,/m/0h614jz,/m/0gbxx9z,/m/0gbxx9x,,,,,,,Curse of the Golden Flower,5318353,/m/0df92l
Desi Lydic,brainless_beauty,Mia,/m/0h6cvd6,/m/0gb_fvy,/m/0gc3g1p,F,28.0,1981.0,1.7,,,Stan Helsing,24870348,/m/09gf6sk
Desi Lydic,dumb_blonde,Mia,/m/0h6cvd6,/m/0gb_fvy,/m/0gc3g1p,F,28.0,1981.0,1.7,,,Stan Helsing,24870348,/m/09gf6sk
Tom Hollander,psycho_for_hire,Isaacs,/m/0gh94vg,/m/0755wz,/m/0gh94vc,M,43.0,1967.0,1.651,/m/02w7gg,,Hanna,28370997,/m/0crj7yz
Russell Brand,ditz,Arthur Bach,/m/02nwbd0,/m/06crng,/m/0ghdkxh,M,35.0,1975.0,1.85,/m/02w7gg,Arthur Bach,Arthur,28485791,/m/0crgr4d
Tom Hiddleston,officer_and_a_gentleman,Captain Nicholls,/m/0gw7qrk,/m/03h4d3v,/m/0gkcn1g,M,30.0,1981.0,1.87,,,War Horse,27754718,/m/0cc5qkt
Kirsten Dunst,ophelia,Justine,/m/0gkj0bt,/m/04fzk,/m/0gkj0cn,F,29.0,1982.0,1.7,/m/01qhm_,,Melancholia,26971354,/m/0fpkhkz
Jesse Eisenberg,ditz,Nick,/m/0gvd8d1,/m/057176,/m/0gvd8dq,M,27.0,1983.0,1.75,/m/041rx,,30 Minutes or Less,28370864,/m/0crfcdl
Tom Cruise,corrupt_corporate_executive,Les Grossman,/m/0gx9sk1,/m/07r1h,/m/0gyjwgg,M,46.0,1962.0,1.7,/m/02ctzb,,Tropic Thunder,11942501,/m/02ryz24
Chia Hui Liu,arrogant_kungfu_guy,Pai Mei,/m/04s2sc,/m/06vz5f,/m/0gz3h92,M,48.0,1955.0,1.75,/m/02p1pl6,Pai Mei,Kill Bill Volume 2,525270,/m/0gyv0b4
Peter Cullen,egomaniac_hunter,The Predator,/m/0h34xg8,/m/03dn9v,/m/0h34xg2,M,45.0,1941.0,1.73,/m/0g8_vp,The Predator,Predator,230481,/m/01hjmb
Seth Rogen,byronic_hero,Britt Reid,/m/0g4kl4r,/m/05txrz,/m/0h5m_9x,M,28.0,1982.0,1.797,/m/041rx,,The Green Hornet,24195690,/m/07k8rt4
David Murray,corrupt_corporate_executive,James McCullen - 1641,/m/0hccss6,/m/0bbcfrn,/m/0h5q191,M,39.0,1970.0,,,,G.I. Joe: The Rise of Cobra,13734892,/m/03qcfvw
Peter Weller,fastest_gun_in_the_west,RoboCop,/m/0h3w0g,/m/04t969,/m/0h5q82q,M,40.0,1947.0,1.83,,,RoboCop,445066,/m/0299hs
Lance Fenton,jerk_jock,Kurt Kelly,/m/0h5slxs,/m/0c1632,/m/0h5slxp,M,,,,,,Heathers,13901,/m/03m3j
John Howard,self_made_man,George Kittredge,/m/0h6f8kg,/m/041y5k,/m/0h6f8kc,M,27.0,1913.0,1.77,,,The Philadelphia Story,62592,/m/0gxfz
Bruce Boxleitner,bruiser_with_a_soft_center,Tron,/m/0cgfrn,/m/025z93,/m/0hcfdd1,M,32.0,1950.0,1.88,/m/02ctzb,,Tron,312757,/m/01tdmp
Takashi Matsuyama,crazy_jealous_guy,Takeo,/m/0hgc9dt,/m/0drj3_,/m/0hgc9dq,M,44.0,1960.0,,,,The Grudge,1094719,/m/045j3w
Robert Downey Jr.,byronic_hero,Tony Stark,/m/0ghbqqc,/m/016z2j,/m/0j1__hv,M,43.0,1965.0,1.75,/m/041rx,Tony Stark,Iron Man,5676692,/m/0dzlbx
Robert Downey Jr.,casanova,Tony Stark,/m/0ghbqqc,/m/016z2j,/m/0j1__hv,M,43.0,1965.0,1.75,/m/041rx,Tony Stark,Iron Man,5676692,/m/0dzlbx
Robert Downey Jr.,gadgeteer_genius,Tony Stark,/m/0ghbqqc,/m/016z2j,/m/0j1__hv,M,43.0,1965.0,1.75,/m/041rx,Tony Stark,Iron Man,5676692,/m/0dzlbx
Steve Guttenberg,self_made_man,Roger Callaway,/m/09rmr6g,/m/035wq7,/m/0j_0s0,M,37.0,1958.0,,/m/048z7l,,It Takes Two,4446490,/m/0c2x61
Lionel Barrymore,corrupt_corporate_executive,Henry F. Potter,/m/0hgyxj8,/m/0hnkp,/m/0j_11c,M,,1878.0,1.83,,,It's a Wonderful Life,60164,/m/0gcpc
Lionel Barrymore,morally_bankrupt_banker,Henry F. Potter,/m/0hgyxj8,/m/0hnkp,/m/0j_11c,M,,1878.0,1.83,,,It's a Wonderful Life,60164,/m/0gcpc
Jesse Metcalfe,big_man_on_campus,John Tucker,/m/0h25_zp,/m/058ncz,/m/0j_6gm,M,27.0,1978.0,1.772,/m/06v41q,,John Tucker Must Die,5095233,/m/0d2fvy
Sophia Bush,granola_person,Beth,/m/0gxt75x,/m/05jv50,/m/0j_6h2,F,24.0,1982.0,1.63,/m/0222qb,,John Tucker Must Die,5095233,/m/0d2fvy
Liam Neeson,father_to_his_men,Capt. Mikhail Polenin,/m/0chkvn7,/m/0h5g_,/m/0j_9gv,M,50.0,1952.0,1.93,/m/03bkbh,,K-19: The Widowmaker,43307,/m/0bw20
Leo Fitzpatrick,casanova,Telly,/m/0h5nn1p,/m/06hg0w,/m/0j_flm,M,,1978.0,1.79,,,Kids,615418,/m/02ww1t
David Carradine,crazy_jealous_guy,Bill,/m/03py3d,/m/02p5hf,/m/0j_fvv,M,66.0,1936.0,1.85,/m/07bch9,,Kill Bill Volume 1,301314,/m/01rxyb
David Carradine,heartbroken_badass,Bill,/m/03py3d,/m/02p5hf,/m/0j_fvv,M,66.0,1936.0,1.85,/m/07bch9,,Kill Bill Volume 1,301314,/m/01rxyb
David Carradine,master_swordsman,Bill,/m/03py3d,/m/02p5hf,/m/0j_fvv,M,66.0,1936.0,1.85,/m/07bch9,,Kill Bill Volume 1,301314,/m/01rxyb
Seth Rogen,slacker,Ben Stone,/m/06fcjf2,/m/05txrz,/m/0j_ks0,M,25.0,1982.0,1.797,/m/041rx,,Knocked Up,4295195,/m/0bvn25
Russell Crowe,crazy_jealous_guy,Bud White,/m/02h75l1,/m/06dv3,/m/0j_n0t,M,33.0,1964.0,1.8,/m/05748,,L.A. Confidential,142457,/m/011yqc
Peter O'Toole,warrior_poet,T. E. Lawrence,/m/02nw8h0,/m/0h0jz,/m/0j_tdt,M,30.0,1932.0,1.91,/m/02g7sp,T. E. Lawrence,Lawrence of Arabia,43452,/m/0bx0l
Daryl Hannah,broken_bird,Chelsea Deardon,/m/0gz4ybp,/m/01xv77,/m/0j_wlm,F,25.0,1960.0,1.78,,,Legal Eagles,3748765,/m/09yxrl
Reese Witherspoon,valley_girl,Elle Woods,/m/0blvvf,/m/0n6f8,/m/0j_wm4,F,25.0,1976.0,1.56,/m/07bch9,Elle Woods,Legally Blonde,444267,/m/0296vv
David Wenham,storyteller,Dilios,/m/0gkd1jw,/m/02ck7w,/m/0jsg_x,M,41.0,1965.0,1.83,,,300,2465797,/m/07f_t4
Martin Short,fastest_gun_in_the_west,Ned Nederlander,/m/02nw95z,/m/01trf3,/m/0jshd9,M,36.0,1950.0,1.71,/m/033njm,,\u00a1Three Amigos!,905971,/m/03nnzk
Christopher Eccleston,father_to_his_men,Major Henry West,/m/0gkmfjb,/m/02cbs0,/m/0jskmk,M,38.0,1964.0,1.83,/m/02w7gg,,28 Days Later,145892,/m/012kyx
Adam Sandler,ditz,Henry Roth,/m/02nw9b3,/m/0pz91,/m/0jsll5,M,37.0,1966.0,1.78,/m/041rx,Henry Roth,50 First Dates,477099,/m/02f6g5
Zack Ward,bully,Scut Farkus,/m/02r4d6z,/m/0ckr4p,/m/0jsprx,M,13.0,1970.0,,,,A Christmas Story,932424,/m/03r6_w
Kevin Kline,crazy_jealous_guy,Otto,/m/0h5w1j7,/m/01gbn6,/m/0jsqxv,M,40.0,1947.0,1.88,/m/01qhm_,,A Fish Called Wanda,308898,/m/01sxly
Heather Langenkamp,final_girl,Nancy Thompson,/m/0c6br4,/m/036j91,/m/0jsvgr,F,20.0,1964.0,1.6,,Nancy Thompson,A Nightmare on Elm Street,3028191,/m/08ll52
Michael Douglas,crazy_jealous_guy,Steven Taylor,/m/0gd1y56,/m/0kjgl,/m/0jsw40,M,53.0,1944.0,1.78,/m/063k3h,,A Perfect Murder,189088,/m/019wds
Sigourney Weaver,final_girl,Ellen Ripley,/m/02xd83,/m/0h96g,/m/0jt7sz,F,29.0,1949.0,1.82,,Ellen Ripley,Alien,23487440,/m/067ghz
Paul Reiser,corrupt_corporate_executive,Carter Burke,/m/0h56vfg,/m/01y0y6,/m/0jt8n6,M,29.0,1957.0,1.78,/m/041rx,,Aliens,213472,/m/01f8hf
Paul Reiser,coward,Carter Burke,/m/0h56vfg,/m/01y0y6,/m/0jt8n6,M,29.0,1957.0,1.78,/m/041rx,,Aliens,213472,/m/01f8hf
Bette Davis,prima_donna,Margo Channing,/m/02nwb2m,/m/0h1m9,/m/0jt8y2,F,41.0,1908.0,1.6,,,All About Eve,41881,/m/0bj25
Jason Robards,the_editor,Ben Bradlee,/m/0h6ckbj,/m/01tcf7,/m/0jt9_0,M,53.0,1922.0,1.765,,,All the President's Men,3876620,/m/0b4lkx
Christian Bale,morally_bankrupt_banker,Patrick Bateman,/m/02d69c,/m/01wy5m,/m/0jtfcj,M,25.0,1974.0,1.83,/m/02w7gg,,American Psycho,4846576,/m/0cqr0q
Marlon Brando,warrior_poet,Colonel Walter E. Kurtz,/m/09gj95b,/m/04__f,/m/0jtp23,M,55.0,1924.0,1.75,/m/07mqps,,Apocalypse Now,18951054,/m/0jzw
Martin Sheen,father_to_his_men,Captain Benjamin L. Willard,/m/04f0mlz,/m/0hvb2,/m/0jtp2f,M,38.0,1940.0,1.7,/m/042gtr,,Apocalypse Now,18951054,/m/0jzw
Cary Grant,psycho_for_hire,Mortimer Brewster,/m/0gxrjmz,/m/09qh1,/m/0jtr3s,M,40.0,1904.0,1.87,,,Arsenic and Old Lace,787704,/m/03c77z
Crispin Glover,doormat,George McFly,/m/023n2z,/m/023n39,/m/0jty5w,M,21.0,1964.0,1.85,/m/065b6q,George McFly,Back to the Future,42993,/m/0bt4g
Thomas F. Wilson,bully,Biff Tannen,/m/02gbn3,/m/03d_qmm,/m/0jty60,M,26.0,1959.0,1.91,,Biff Tannen,Back to the Future,42993,/m/0bt4g
Thomas F. Wilson,jerk_jock,Biff Tannen,/m/02gbn3,/m/03d_qmm,/m/0jty60,M,26.0,1959.0,1.91,,Biff Tannen,Back to the Future,42993,/m/0bt4g
Harvey Keitel,dirty_cop,The Lieutenant,/m/0bdwp2l,/m/0klh7,/m/0jtz28,M,53.0,1939.0,1.71,/m/022dp5,,Bad Lieutenant,1238102,/m/04l40p
Richard White,egomaniac_hunter,Gaston,/m/04v2dz,/m/03f0w6g,/m/0jv4jc,M,38.0,1953.0,,,,Beauty and the Beast,133462,/m/0_7w6
Richard White,jerk_jock,Gaston,/m/04v2dz,/m/03f0w6g,/m/0jv4jc,M,38.0,1953.0,,,,Beauty and the Beast,133462,/m/0_7w6
Cameron Diaz,granola_person,Lotte Schwartz,/m/04dwxq2,/m/0bksh,/m/0jv6mp,F,27.0,1972.0,1.75,/m/042gtr,,Being John Malkovich,349941,/m/01z452
Ewan McGregor,storyteller,Ed Bloom - Young,/m/0bx8kcp,/m/0k269,/m/0jvbkh,M,31.0,1971.0,1.79,/m/03lmx1,,Big Fish,431014,/m/027pfg
Keanu Reeves,stoner,"Ted \Theodore\"" Logan""",/m/02qfsps,/m/0479b,/m/0jvcqg,M,24.0,1964.0,1.86,/m/03bkbh,"Ted ""Theodore"" Logan",Bill & Ted's Excellent Adventure,23808966,/m/014z96
Keanu Reeves,surfer_dude,"Ted \Theodore\"" Logan""",/m/02qfsps,/m/0479b,/m/0jvcqg,M,24.0,1964.0,1.86,/m/03bkbh,"Ted ""Theodore"" Logan",Bill & Ted's Excellent Adventure,23808966,/m/014z96
Alex Winter,stoner,"Bill S. Preston, Esq.",/m/0g2jk0,/m/04xjzx,/m/0jvcqm,M,23.0,1965.0,,/m/041rx,,Bill & Ted's Excellent Adventure,23808966,/m/014z96
Alex Winter,surfer_dude,"Bill S. Preston, Esq.",/m/0g2jk0,/m/04xjzx,/m/0jvcqm,M,23.0,1965.0,,/m/041rx,,Bill & Ted's Excellent Adventure,23808966,/m/014z96
Wesley Snipes,master_swordsman,Blade,/m/02jfzz,/m/02lymt,/m/0jvh78,M,36.0,1962.0,1.753,/m/0x67,,Blade,471544,/m/02djzj
Harrison Ford,bounty_hunter,Rick Deckard,/m/08zbgl,/m/0c0k1,/m/0jvhbm,M,39.0,1942.0,1.85,/m/01qhm_,,Blade Runner,3746,/m/017n9
Harrison Ford,hardboiled_detective,Rick Deckard,/m/08zbgl,/m/0c0k1,/m/0jvhbm,M,39.0,1942.0,1.85,/m/01qhm_,,Blade Runner,3746,/m/017n9
Gene Wilder,fastest_gun_in_the_west,Jim,/m/04w0vlr,/m/027l0b,/m/0jvhqr,M,40.0,1933.0,1.78,/m/048z7l,,Blazing Saddles,3837,/m/018f8
Isabella Rossellini,chanteuse,Dorothy Vallens,/m/0gz5lsj,/m/0htlr,/m/0jvlc4,F,,1952.0,1.73,/m/065b6q,,Blue Velvet,3947,/m/0191n
Peter Sarsgaard,crazy_jealous_guy,John Lotter,/m/05v94mj,/m/03x400,/m/0jvqzw,M,28.0,1971.0,1.83,/m/0dqqwy,,Boys Don't Cry,543162,/m/02nczh
Kristy Swanson,brainless_beauty,Buffy Summers,/m/0b41h,/m/0337zp,/m/0jvy0r,F,22.0,1969.0,1.676,/m/065b6q,,Buffy the Vampire Slayer,4231,/m/01cbx
Kristy Swanson,valley_girl,Buffy Summers,/m/0b41h,/m/0337zp,/m/0jvy0r,F,22.0,1969.0,1.676,/m/065b6q,,Buffy the Vampire Slayer,4231,/m/01cbx
Robert Redford,retired_outlaw,The Sundance Kid,/m/0cc17bf,/m/0gs1_,/m/0jvzx9,M,33.0,1936.0,1.75,/m/02w7gg,,Butch Cassidy and the Sundance Kid,99031,/m/0p9tm
Robert De Niro,tranquil_fury,Max Cady,/m/06rrdy,/m/06cgy,/m/0jw22y,M,48.0,1943.0,1.77,/m/0xnvg,Max Cady,Cape Fear,171026,/m/016y_f
Heath Ledger,casanova,Giacomo Casanova,/m/047_rdg,/m/0237fw,/m/0jw4mw,M,26.0,1979.0,1.85,/m/07hyjp,,Casanova,3201442,/m/08yy2g
Robert De Niro,consummate_professional,Sam 'Ace' Rothstein,/m/0gxsd0y,/m/06cgy,/m/0jw4vx,M,52.0,1943.0,1.77,/m/0xnvg,,Casino,695780,/m/033hmj
Robert De Niro,crazy_jealous_guy,Sam 'Ace' Rothstein,/m/0gxsd0y,/m/06cgy,/m/0jw4vx,M,52.0,1943.0,1.77,/m/0xnvg,,Casino,695780,/m/033hmj
Leonardo DiCaprio,charmer,Frank Abagnale Jr.,/m/02nw85f,/m/0dvmd,/m/0jw5pq,M,28.0,1974.0,1.83,/m/09kr66,,Catch Me If You Can,215873,/m/01flv_
Michael Caine,granola_person,Jasper Palmer,/m/02nwcj3,/m/0gnbw,/m/0jwbh7,M,73.0,1933.0,1.88,,,Children of Men,3793631,/m/0fh2v5
Jack Nicholson,hardboiled_detective,J. J. Gittes,/m/02nwcjs,/m/09fb5,/m/0jwcjk,M,37.0,1937.0,1.77,/m/0xnvg,,Chinatown,68092,/m/0hv4t
John Huston,corrupt_corporate_executive,Noah Cross,/m/072n1m,/m/0c12h,/m/0jwcjw,M,67.0,1906.0,1.88,,,Chinatown,68092,/m/0hv4t
Jeff Anderson,bromantic_foil,Randal Graves,/m/05gmpml,/m/09594c,/m/0jwj18,M,,1970.0,1.82,,Randal Graves,Clerks.,200694,/m/01chyt
Adam Sandler,ditz,Michael Newman,/m/03jnqt9,/m/0pz91,/m/0jwj2t,M,39.0,1966.0,1.78,/m/041rx,,Click,2864621,/m/087pfc
Alicia Silverstone,ditz,Cher Horowitz,/m/0gyd1ll,/m/0j5q3,/m/0jwjsy,F,18.0,1976.0,1.65,/m/041rx,,Clueless,105872,/m/0qjzd
Alicia Silverstone,valley_girl,Cher Horowitz,/m/0gyd1ll,/m/0j5q3,/m/0jwjsy,F,18.0,1976.0,1.65,/m/041rx,,Clueless,105872,/m/0qjzd
Tom Cruise,hitman_with_a_heart,Vincent,/m/0c6fw6,/m/07r1h,/m/0jwkz6,M,42.0,1962.0,1.7,/m/02ctzb,,Collateral,826409,/m/03f7nt
Arnold Schwarzenegger,revenge,Conan the Barbarian,/m/01z02,/m/0tc7,/m/0jwmfk,M,36.0,1947.0,1.88,/m/019lrz,Conan the Barbarian,Conan the Destroyer,1024501,/m/03_8cd
Kirsten Dunst,broken_bird,Nicole Oakley,/m/0gxr1z0,/m/04fzk,/m/0jwrqb,F,19.0,1982.0,1.7,/m/01qhm_,,Crazy/Beautiful,1882947,/m/063h6k
Denzel Washington,father_to_his_men,Lt. Commander Ron Hunter,/m/0gxszkm,/m/0pmhf,/m/0jwsnp,M,40.0,1954.0,1.84,/m/0x67,,Crimson Tide,1317604,/m/04sg0b
Chow Yun-Fat,warrior_poet,Master Li Mu Bai,/m/059xf3y,/m/0m9v7,/m/0jwt__,M,44.0,1955.0,1.83,/m/03bx0k4,,"Crouching Tiger, Hidden Dragon",5313,/m/01mgw
Zhang Ziyi,arrogant_kungfu_guy,Jen Yu,/m/059xf46,/m/0jlv5,/m/0jwv09,F,21.0,1979.0,1.63,,,"Crouching Tiger, Hidden Dragon",5313,/m/01mgw
Milo Ventimiglia,jerk_jock,Bo,/m/0h185dc,/m/03mt30,/m/0jwwhw,M,27.0,1977.0,1.78,/m/033tf_,,Cursed,1253851,/m/04mgt3
Jeremy Irons,crazy_jealous_guy,Dr. Stephen Fleming,/m/0g_6rzl,/m/016ywr,/m/0jwy3x,M,44.0,1948.0,1.85,/m/02w7gg,,Damage,3175656,/m/08x6cl
Michael Clarke Duncan,corrupt_corporate_executive,Kingpin,/m/022f26,/m/02lkcc,/m/0jwz5q,M,45.0,1957.0,1.96,/m/0x67,,Daredevil,1129847,/m/048vhl
Norman Lloyd,dean_bitterman,Mr. Nolan,/m/0h5qcrp,/m/0fsrjj,/m/0jx21w,M,74.0,1914.0,,,,Dead Poets Society,129493,/m/0yzbg
Humphrey Bogart,hardboiled_detective,Capt. 'Rip' Murdock,/m/0gz4w4f,/m/03n6r,/m/0jx253,M,,1899.0,1.74,/m/07mqps,,Dead Reckoning,1918678,/m/066177
Bruce Willis,henpecked_husband,Dr. Ernest Menville,/m/04drwxd,/m/0h7pj,/m/0jx2_4,M,37.0,1955.0,1.8,,,Death Becomes Her,105972,/m/0qkl7
Edward Norton,granola_person,Sheldon Mopes,/m/0gy99_8,/m/01515w,/m/0jx3b8,M,32.0,1969.0,1.83,,,Death to Smoochy,1157158,/m/04c13q
Ray Milland,crazy_jealous_guy,Tony Wendice,/m/0528dy7,/m/0f0p0,/m/0jx7qr,M,47.0,1907.0,1.87,,,Dial M for Murder,77223,/m/0k7tq
Jean Harlow,dumb_blonde,Kitty Packard,/m/0h2zslv,/m/01qzdl,/m/0jx9zj,F,22.0,1911.0,1.55,,,Dinner at Eight,3339200,/m/096mjj
Jason Mewes,stoner,Jay,/m/0468rdr,/m/02q7z2,/m/0jxdkm,M,24.0,1974.0,1.83,/m/022dp5,,Dogma,98991,/m/0p9lw
Brittany Murphy,ophelia,Elisabeth Burrows,/m/0gx9nv1,/m/0168dy,/m/0jxfnl,F,23.0,1977.0,1.6,,,Don't Say a Word,236122,/m/01j8wk
Jake Gyllenhaal,byronic_hero,Donnie Darko,/m/04kcvsp,/m/02js6_,/m/0jxftx,M,20.0,1980.0,1.83,/m/065b6q,,Donnie Darko,57820,/m/0fvr1
Jeff Daniels,doormat,Harry Dunne,/m/04w0vs9,/m/0372kf,/m/0jxmxp,M,39.0,1955.0,1.91,/m/07hwkr,,Dumb & Dumber,737803,/m/0372j5
Anthony Michael Hall,jerk_jock,Jim,/m/0g4g1dp,/m/01jvs4,/m/0jxqwd,M,22.0,1968.0,1.88,/m/033tf_,,Edward Scissorhands,302970,/m/01s3vk
James Marsden,romantic_runnerup,Prince Edward,/m/02nwdm3,/m/042ly5,/m/0jxvm9,M,34.0,1973.0,1.79,,Prince Edward,Enchanted,5138153,/m/0d4htf
Pauly Shore,surfer_dude,Stoney Brown,/m/0h1wklh,/m/01sbhvd,/m/0jxvpr,M,24.0,1968.0,1.71,/m/041rx,,Encino Man,1596589,/m/05fc8m
Christian Bale,tranquil_fury,John Preston,/m/0d1394,/m/01wy5m,/m/0jxwq8,M,28.0,1974.0,1.83,/m/02w7gg,John Preston,Equilibrium,234537,/m/01j2ff
Angus Macfadyen,cultured_badass,Dupont,/m/0h5r1sb,/m/04nr37,/m/0jxwqx,M,39.0,1963.0,1.78,,,Equilibrium,234537,/m/01j2ff
Julian McMahon,corrupt_corporate_executive,Doctor Doom,/m/0cs4m,/m/022r97,/m/0jy24c,M,36.0,1968.0,1.88,,Doctor Doom,Fantastic Four,1519783,/m/057lbk
William H. Macy,stupid_crooks,Jerry Lundegaard,/m/04mn0rg,/m/023kzp,/m/0jy2wd,M,45.0,1950.0,1.75,/m/04tvpv,,Fargo,142430,/m/011yhm
Peter Stormare,psycho_for_hire,Gaear Grimsrud,/m/04mn0r0,/m/012q4n,/m/0jy2x0,M,42.0,1953.0,1.892,/m/065b6q,,Fargo,142430,/m/011yhm
Sean Penn,stoner,Jeff Spicoli,/m/02nwdx9,/m/0sz28,/m/0jy30b,M,21.0,1960.0,1.77,/m/041rx,,Fast Times at Ridgemont High,453236,/m/02bc6c
Sean Penn,surfer_dude,Jeff Spicoli,/m/02nwdx9,/m/0sz28,/m/0jy30b,M,21.0,1960.0,1.77,/m/041rx,,Fast Times at Ridgemont High,453236,/m/02bc6c
Mark Wahlberg,crazy_jealous_guy,David McCall,/m/0h5sl1v,/m/0gy6z9,/m/0jy3_h,M,24.0,1971.0,1.7,/m/065b6q,,Fear,594295,/m/02thnm
Jeffrey Jones,dean_bitterman,Ed Rooney,/m/0h4zjnd,/m/02rf1y,/m/0jy52w,M,39.0,1946.0,1.94,,,Ferris Bueller's Day Off,88326,/m/0m491
Brad Pitt,trickster,Tyler Durden,/m/0447lv7,/m/0c6qh,/m/0jy5tj,M,35.0,1963.0,1.8,,,Fight Club,1009041,/m/03yvf2
Robin Williams,absent_minded_professor,Professor Philip Brainard,/m/0cls20k,/m/0dzf_,/m/0jy9q0,M,46.0,1951.0,1.702,,,Flubber,1344253,/m/04vcfx
Clint Eastwood,bounty_hunter,Man with No Name,/m/038pm4,/m/0bwh6,/m/0jybsq,M,35.0,1930.0,1.88,/m/09vc4s,,For a Few Dollars More,442300,/m/028_x9
Lee Van Cleef,revenge,Col. Douglas Mortimer,/m/0h2y3p9,/m/04r0b,/m/0jybsw,M,40.0,1925.0,1.88,/m/07mqps,,For a Few Dollars More,442300,/m/028_x9
Rowan Atkinson,ditz,Mr. Bean,/m/02nwjjk,/m/0djywgn,/m/0jygqg,M,52.0,1955.0,1.8,,Mr. Bean,Mr. Bean's Holiday,1120730,/m/047v27
